diseases,symptoms
Malaria,Fever
Dengue,Fever
Typhoid,Fever
Malaria,Headache
Dengue,Headache
Typhoid,Headache
Malaria,Muscle Pain
Dengue,Muscle Pain
Typhoid,Muscle Pain
Common Cold,Cough
Influenza,Cough
Measles,Cough
Common Cold,Sore Throat
Influenza,Sore Throat
Measles,Sore Throat
Common Cold,Runny Nose
Influenza,Runny Nose
Measles,Runny Nose
Gastroenteritis,Nausea
Food Poisoning,Nausea
Cholera,Nausea
Gastroenteritis,Vomiting
Food Poisoning,Vomiting
Cholera,Vomiting
Gastroenteritis,Diarrhea
Food Poisoning,Diarrhea
Cholera,Diarrhea
Zika Virus,Skin Rash
Chikungunya,Skin Rash
Dengue,Skin Rash
Zika Virus,Fever
Chikungunya,Fever
Dengue,Fever
Zika Virus,Joint Pain
Chikungunya,Joint Pain
Dengue,Joint Pain
COVID-19,Fever
Tuberculosis,Fever
Hepatitis B,Fever
COVID-19,Fatigue
Tuberculosis,Fatigue
Hepatitis B,Fatigue
COVID-19,Loss of Appetite
Tuberculosis,Loss of Appetite
Hepatitis B,Loss of Appetite
Colon cancer,Unexplained weight loss
Pancreatic cancer,Unexplained weight loss
Stomach cancer,Unexplained weight loss
Colon cancer,Persistent fatigue
Pancreatic cancer,Persistent fatigue
Stomach cancer,Persistent fatigue
Colon cancer,Irregular bowel movements
Pancreatic cancer,Irregular bowel movements
Stomach cancer,Irregular bowel movements
Lung cancer,Persistent cough
Esophageal cancer,Persistent cough
Thymoma,Persistent cough
Lung cancer,Difficulty swallowing
Esophageal cancer,Difficulty swallowing
Thymoma,Difficulty swallowing
Lung cancer,Chest pain
Esophageal cancer,Chest pain
Thymoma,Chest pain
Skin cancer,Abnormal bleeding
Leukemia,Abnormal bleeding
Stomach cancer,Abnormal bleeding
Skin cancer,Changes in moles
Leukemia,Changes in moles
Stomach cancer,Changes in moles
Skin cancer,Persistent indigestion
Leukemia,Persistent indigestion
Stomach cancer,Persistent indigestion
Brain tumor,Headaches
Leukemia,Headaches
Lymphoma,Headaches
Brain tumor,Seizures
Leukemia,Seizures
Lymphoma,Seizures
Brain tumor,Memory loss
Leukemia,Memory loss
Lymphoma,Memory loss
Liver cancer,Jaundice
Gallbladder cancer,Jaundice
Pancreatic cancer,Jaundice
Liver cancer,Abdominal pain
Gallbladder cancer,Abdominal pain
Pancreatic cancer,Abdominal pain
Liver cancer,Loss of appetite
Gallbladder cancer,Loss of appetite
Pancreatic cancer,Loss of appetite
Asthma,Cough
Chronic Bronchitis,Cough
Emphysema,Cough
Asthma,Shortness of Breath
Chronic Bronchitis,Shortness of Breath
Emphysema,Shortness of Breath
Asthma,Wheezing
Chronic Bronchitis,Wheezing
Emphysema,Wheezing
Pulmonary Fibrosis,Fatigue
Tuberculosis,Fatigue
Sarcoidosis,Fatigue
Pulmonary Fibrosis,Weight Loss
Tuberculosis,Weight Loss
Sarcoidosis,Weight Loss
Pulmonary Fibrosis,Chest Tightness
Tuberculosis,Chest Tightness
Sarcoidosis,Chest Tightness
Pneumonia,Difficulty Breathing
COVID-19,Difficulty Breathing
Lung Cancer,Difficulty Breathing
Pneumonia,Chest Pain
COVID-19,Chest Pain
Lung Cancer,Chest Pain
Pneumonia,Fever
COVID-19,Fever
Lung Cancer,Fever
Cystic Fibrosis,Chronic Cough
Chronic Obstructive Pulmonary Disease (COPD),Chronic Cough
Bronchiectasis,Chronic Cough
Cystic Fibrosis,Blood in Sputum
